Site_name,Site_id,Latitude,Longitude
NPIC03,10031,32.195831,34.966447
NPIC05,10051,32.264722,35.153056
NPIC06,10061,32.225853,35.063652
NPIC08,10081,32.224542,35.232917
NPIC08,10086,32.224542,35.232917
NPIC09,10091,32.114193,35.085289
NPIC09,10096,32.114193,35.085289
NPIC11,10111,32.22686,35.2216
NPIC12,10121,32.220131,35.253807
NPIC13,10131,32.223711,35.230362
NPIC13,10136,32.223711,35.230362
NPIC14,10141,32.18312,34.96787
NPIC14,10146,32.18312,34.96787
NPIC15,10151,32.226604,35.223664
NPIC15,10156,32.226604,35.223664
NPIC19,10191,32.21764,35.269534
NPIC19,10196,32.21764,35.269534
NPIC20,10201,32.2425,35.2211
NPIC20,10206,32.2425,35.2211
NPIC21,10211,32.224464,35.248876
NPIC21,10216,32.224464,35.248876
NPIC22,10221,32.262051,35.329936
NPIC22,10226,32.262051,35.329936
NPIC23,10231,32.221001,35.258133
NPIC23,10236,32.221001,35.258133
NPIC24,10241,32.221698,35.236737
NPIC24,10246,32.221698,35.236737
NPIC25,10251,32.241364,35.215923
NPIC26,10261,32.221906,35.236363
NPIC26,10266,32.221906,35.236363
NPIC27,10271,32.221554,35.260703
NPIC27,10276,32.221554,35.260703
NPIC29,10291,32.222877,35.259472
NPIC29,10296,32.222877,35.259472
NPIC31,10311,32.221783,35.259506
NPIC31,10316,32.221783,35.259506
NPIC32,10321,32.0953,35.2717
NPIC32,10326,32.0953,35.2717
NPIC33,10331,32.224152,35.245483
NPIC33,10336,32.224152,35.245483
NPIC34,10341,32.224701,35.253868
NPIC34,10346,32.224701,35.253868
NPIC37,10371,32.2142,35.2895
NPIC38,10381,32.224558,35.244801
NPIC40,10401,32.231466,35.243256
NPIC41,10411,32.2207,35.2491
NPIC42,10421,32.179678,34.971113
NPIC42,10426,32.179678,34.971113
NPIC43,10431,32.226411,35.212257
NPIC44,10441,32.220367,35.247002
NPIC44,10446,32.220367,35.247002
NPIC45,10451,32.23503,35.1916
NPIC45,10456,32.23503,35.1916
NPIC47,10471,32.226697,35.242167
NPIC47,10476,32.226697,35.242167
NPIC48,10481,32.225302,35.226681
NPIC48,10486,32.225302,35.226681
NVM002,13021,32.196389,35.056667
NVM002,13022,32.196389,35.056667
NVM002,13023,32.196389,35.056667
NVM002,13026,32.196389,35.056667
NVM002,13027,32.196389,35.056667
NVM002,13028,32.196389,35.056667
NVM110,14101,32.200833,35.030278
NVM110,14102,32.200833,35.030278
NVM110,14103,32.200833,35.030278
NVM110,14106,32.200833,35.030278
NVM110,14107,32.200833,35.030278
NVM110,14108,32.200833,35.030278
NVM093,14931,32.253635,35.084595
NVM093,14932,32.253635,35.084595
NVM093,14936,32.253635,35.084595
NVM093,14937,32.253635,35.084595
NVM396,15961,32.2247,35.066
NVM396,15962,32.2247,35.066
NVM396,15963,32.2247,35.066
NVM396,15966,32.2247,35.066
NVM396,15967,32.2247,35.066
NVM396,15968,32.2247,35.066
SMIC01,16011,32.089561,35.16872
SMIC01,16012,32.089561,35.16872
SMIC01,16013,32.089561,35.16872
SMIC01,16014,32.089561,35.16872
SMIC01,16016,32.089561,35.16872
SMIC01,16017,32.089561,35.16872
SMIC01,16018,32.089561,35.16872
SMIC01,16019,32.089561,35.16872
NMIC01,27011,32.218497,35.260973
NMIC01,27012,32.218497,35.260973
NMIC01,27013,32.218497,35.260973
NMIC01,27016,32.218497,35.260973
NMIC01,27017,32.218497,35.260973
NMIC01,27018,32.218497,35.260973
NMIC02,27021,32.218056,35.263333
NMIC02,27022,32.218056,35.263333
NMIC02,27026,32.218056,35.263333
NMIC02,27027,32.218056,35.263333
NMIC03,27031,32.256895,35.330269
NMIC03,27032,32.256895,35.330269
NMIC03,27033,32.256895,35.330269
NMIC03,27036,32.256895,35.330269
NMIC03,27037,32.256895,35.330269
NMIC03,27038,32.256895,35.330269
NMIC04,27041,32.234722,35.251389
NMIC04,27042,32.234722,35.251389
